,id,displayName
0,Rp268JB6Ne4,Adonkia CHP
1,cDw53Ej8rju,Afro Arab Clinic
2,GvFqTavdpGE,Agape CHP
3,plnHVbJR6p4,Ahamadyya Mission Cl
4,BV4IomHvri4,Ahmadiyya Muslim Hospital
5,qjboFI0irVu,"Air Port Centre, Lungi"
6,dWOAzMcK2Wt,Alkalia CHP
7,kbGqmM6ZWWV,Allen Town Health Post
8,eoYV2p74eVz,Approved School CHP
9,nq7F0t1Pz6t,Arab Clinic
10,r5WWF9WDzoa,Baama CHC
11,yMCshbaVExv,Babara CHC
12,tlMeFk8C4CG,Badala MCHP
13,YuQRtpLP10I,Badjia
14,Jiymtq0A01x,Bafodia CHC
15,jPidqyo7cpF,Bagruwa
16,XtuhRhmbrJM,Baiama CHP
17,BH7rDkWjUqc,Bai Bureh Memorial Hospital
18,c41XRVOYNJm,Baiima CHP
19,Rll4VmTDRiE,Bai Largo MCHP
20,Eyj2kiEJ7M3,Bailor CHP
21,HFyjUvMjQ8H,Baiwala CHP
22,MHAWZr2Caxw,Bakeloko CHP
23,LOpWauwwghf,Bambara Kaima CHP
24,mUuCjQWMaOc,Bambara MCHP
25,TNbHYOuQi8s,Bambawolo CHP
26,aSfF9kuNINJ,Bambuibu Tommy MCHP
27,wYLjA4vN6Y9,Bambukoro MCHP
28,jjtzkzrmG7s,Banana Island MCHP
29,FNnj3jKGS7i,Bandajuma Clinic CHC
30,ABM75Q1UfoP,Bandajuma Kpolihun CHP
31,rx9ubw0UCqj,Bandajuma MCHP
32,OZ1olxsTyNa,Bandajuma Sinneh MCHP
33,MpcMjLmbATv,Bandajuma Yawei CHC
34,qO2JLjYrg91,Bandakarifaia MCHP
35,U7yKrx2QVet,Bandaperie CHP
36,uPshwz3B3Uu,Bandasuma CHP
37,aF6iPGbrcRk,Bandasuma Fiama MCHP
38,lpAPY3QOY2D,Bandawor MCHP
39,t1aAdpBbDB3,Bandusuma MCHP
40,xQIU41mR69s,Bangambaya MCHP
41,pdF4XIHIGPx,Bangoma MCHP
42,rxc497GUdDt,Banka Makuloh MCHP
43,vWbkYPRmKyS,Baoma
44,FLjwMPWLrL2,Baomahun CHC
45,Yj2ni275yPJ,Baoma (Koya) CHC
46,a1dP5m3Clw4,Baoma Kpenge CHP
47,TQ5DSmdliN7,Baoma (Luawa) MCHP
48,t52CJEyLhch,Baoma MCHP
49,Y8foq27WLti,Baoma Oil Mill CHC
